ts,event,details
2026-01-14T21:20:15+00:00,run_start,case=rand_write_4k_qd1__link_down_5s__default
2026-01-14T21:20:15+00:00,preflight_start,
2026-01-14T21:20:16+00:00,preflight_ok,
2026-01-14T21:20:16+00:00,collectors_start,
2026-01-14T21:20:16+00:00,collectors_started,
2026-01-14T21:20:16+00:00,fio_bg_start,
2026-01-14T21:20:16+00:00,fio_start,rw=randwrite;bs=4k;qd=1;jobs=1;size=256M
2026-01-14T21:20:46+00:00,inject_wait_done,at=30s
2026-01-14T21:20:46+00:00,injection_start,mode=link_down;len=5s
2026-01-14T21:20:46+00:00,injection_applied,mode=link_down
2026-01-14T21:20:51+00:00,injection_revert_start,mode=link_down
2026-01-14T21:20:51+00:00,injection_reverted,mode=link_down
2026-01-14T21:20:51+00:00,fio_wait,
2026-01-14T21:22:17+00:00,fio_end,rc=0
2026-01-14T21:22:17+00:00,fio_wait_done,rc=0
2026-01-14T21:22:17+00:00,collectors_stop,
2026-01-14T21:22:17+00:00,collectors_stopped,
2026-01-14T21:22:18+00:00,run_end,fio_wait_rc=0
