procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 2672444  37236 751800    0    0  2006   297 1227    2  1  2 97  0  0  0
 0  1      0 2647544  37308 772888    0    0 18267     4 3553 3847  8  3 54 35  0  0
 0  2      0 2646536  37308 772896    0    0     0     0 1361  582  0  2 49 50  0  0
 0  2      0 2646536  37308 772900    0    0     0     0 1215  810  1  0 49 51  0  0
 0  2      0 2646536  37308 772916    0    0     0     0 1301  812  0  1 49 50  0  0
 0  1      0 2646536  37316 772908    0    0     0   156 1242  793  1  1 49 50  0  0
 0  1      0 2646536  37316 772932    0    0     0     0 1209  309  0  1 49 50  0  0
 0  2      0 2646536  37316 772932    0    0     0     0 1190  369  1  0 49 50  0  0
 0  2      0 2648244  37316 772916    0    0     0     0 1258  912  0  1 49 50  0  0
 1  2      0 2648244  37316 772932    0    0     0     0 1222  822  1  1 49 50  0  0
 1  2      0 2648244  37328 772920    0    0     0    88 1231  475  0  1 49 51  0  0
 2  1      0 2648244  37328 772936    0    0     0     0 1230  328  1  1 49 49  0  0
 1  2      0 2648244  37328 772940    0    0     0     0 1202  671  0  1 49 50  0  0
 2  2      0 2648244  37328 772944    0    0     0     0 1281  786  0  1 49 50  0  0
 1  1      0 2648244  37328 772948    0    0     0     4 1240  655  0  1 49 50  0  0
 1  2      0 2648244  37336 772948    0    0     0    16 1198  302  1  1 49 50  0  0
 1  2      0 2648244  37336 772956    0    0     0     0 1217  478  0  1 33 66  0  0
 2  2      0 2648244  37336 772956    0    0     0     0 1242  786  1  1  0 99  0  0
 1  1      0 2648244  37336 772968    0    0     0     4 1231  822  0  1  2 97  0  0
 2  1      0 2648244  37336 772972    0    0     0     0 1188  293  0  1 49 50  0  0
 1  2      0 2648244  37344 772964    0    0     0    16 1224  308  1  0 49 50  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  2      0 2648244  37344 772976    0    0     0     0 1238  847  1  1  0 98  0  0
 1  2      0 2648244  37344 772984    0    0     0     0 1234  793  0  1  0 99  0  0
 1  1      0 2648244  37344 772988    0    0     0     4 1302  498  0  1 34 66  0  0
 1  1      0 2648244  37344 772992    0    0     0     0 1251  297  1  1 49 50  0  0
 2  3      0 2648244  37352 772992    0    0     0    16 1272  627  0  1 19 80  0  0
 1  2      0 2648244  37352 773000    0    0     0     0 1248  827  0  1  0 99  0  0
 1  1      0 2648244  37352 773008    0    0     0     4 1203  527  1  1 30 69  0  0
 0  1      0 2648244  37352 773016    0    0     0     0 1184  298  0  1 50 49  0  0
 0  2      0 2648244  37352 773020    0    0     0     0 1296  603  0  1 50 49  0  0
 1  3      0 2648244  37360 773012    0    0     4    24 1302  845  0  1 50 49  0  0
 0  3      0 2674940  37360 773032    0    0     0   561 1424 1009  1  2 48 49  0  0
 0  3      0 2674768  37360 773036    0    0     0     0 1244  794  1  0 50 49  0  0
 0  3      0 2674768  37360 773040    0    0     0     0 1255  803  0  1 50 49  0  0
 0  3      0 2674768  37360 773044    0    0     0     0 1267  828  0  1 51 49  0  0
 0  4      0 2674768  37368 773048    0    0     0    64 1251  790  0  1 50 49  0  0
 0  3      0 2671100  37368 773056    0    0     4     0 1366 1046  1  2 49 48  0  0
 0  2      0 2670852  37368 773064    0    0     0     5 1265  914  0  1 50 49  0  0
 0  2      0 2671060  37384 773076    0    0     0   116 1415  635  1  2  0 97  0  0
 0  2      0 2671060  37384 773080    0    0     0     8 1313  395  0  1  0 99  0  0
 1  3      0 2671060  37384 773080    0    0     0     0 1397  435  1  1  0 99  0  0
 0  3      0 2671060  37384 773084    0    0     0     0 1366  389  1  1  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 2671060  37384 773088    0    0     0     4 1302  395  0  1 30 70  0  0
 0  1      0 2671060  37392 773096    0    0     0    36 1239  337  1  1 48 51  0  0
 0  2      0 2671060  37392 773104    0    0     0     0 1241  339  1  1 50 49  0  0
 0  2      0 2671060  37392 773108    0    0     0     0 1187  323  0  1 51 49  0  0
 0  1      0 2671060  37392 773112    0    0     0     4 1277  379  0  1 49 49  0  0
 0  1      0 2671060  37392 773116    0    0     0     0 1206  295  1  0 49 51  0  0
 0  3      0 2671060  37400 773116    0    0     0    28 1240  592  1  1 49 50  0  0
