procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 2665104  39648 782948    0    0   523    80 1172    1  0  1 79 20  0  0
 0  1      0 2656940  39712 785336    0    0    63     4 3490 3274  8  3 54 36  0  0
 0  2      0 2656184  39712 785348    0    0     0     0 1288  650  1  1 48 51  0  0
 0  2      0 2655628  39712 785352    0    0     0     0 1183  786  0  1 49 50  0  0
 0  2      0 2655628  39712 785356    0    0     0     0 1196  795  0  1 49 51  0  0
 0  2      0 2655628  39720 785352    0    0     0    48 1241  663  1  1 48 50  0  0
 0  1      0 2655628  39720 785356    0    0     0     0 1298  365  1  1 49 50  0  0
 0  2      0 2655628  39720 785380    0    0     0     0 1216  478  0  1 49 51  0  0
 0  2      0 2655628  39720 785388    0    0     0     0 1267  791  0  1 49 50  0  0
 0  1      0 2655628  39720 785392    0    0     0     4 1230  683  1  1 49 50  0  0
 0  1      0 2655628  39728 785384    0    0     0    20 1202  329  0  1 49 51  0  0
 0  2      0 2655376  39728 785396    0    0     0     0 1203  437  0  1 49 51  0  0
 0  2      0 2655376  39728 785400    0    0     0     0 1266  825  1  1 48 50  0  0
 0  1      0 2655376  39728 785404    0    0     0     4 1271  756  0  1 49 50  0  0
 0  1      0 2655376  39728 785408    0    0     0     0 1199  313  1  1 49 50  0  0
 0  3      0 2655376  39736 785416    0    0     0    20 1195  367  0  1 49 50  0  0
 0  2      0 2655376  39736 785420    0    0     0     0 1185  815  0  1 49 51  0  0
 0  1      0 2655376  39736 785424    0    0     0     4 1282  779  1  1 49 50  0  0
 0  1      0 2655376  39736 785428    0    0     0     0 1327  308  0  1 49 50  0  0
 0  2      0 2655376  39736 785432    0    0     0     0 1226  335  0  1 49 50  0  0
 0  2      0 2655376  39736 785432    0    0     0     0 1207  807  0  1 49 51  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  2      0 2655376  39744 785436    0    0     0    20 1232  838  1  1 48 50  0  0
 0  1      0 2655376  39744 785444    0    0     0     4 1262  426  1  1 48 50  0  0
 0  1      0 2655152  39744 785448    0    0     0     0 1196  313  1  1 49 50  0  0
 0  2      0 2655136  39744 785452    0    0     0     0 1189  763  0  1 49 51  0  0
 0  2      0 2655136  39744 785456    0    0     0     0 1191  810  1  1 49 50  0  0
 0  1      0 2655136  39752 785460    0    0     0    24 1233  417  0  1 49 51  0  0
 0  1      0 2655136  39752 785464    0    0     0     0 1225  311  1  0 49 51  0  0
 0  2      0 2655136  39752 785468    0    0     0     0 1188  733  0  1 49 50  0  0
 0  2      0 2655136  39752 785476    0    0     0     0 1236  809  0  1 49 51  0  0
 2  1      0 2655136  39752 785476    0    0     0     4 1278  457  1  1 49 50  0  0
 0  3      0 2655200  39760 785480    0    0     0   297 1286  416  0  1 49 50  0  0
 0  3      0 2655200  39760 785484    0    0     0     0 1236  350  1  1 49 50  0  0
 0  3      0 2655200  39760 785488    0    0     0     0 1201  306  0  1 49 50  0  0
 0  3      0 2655200  39760 785492    0    0     0     0 1195  294  0  1 49 51  0  0
 0  3      0 2654992  39760 785496    0    0     0     0 1286  310  1  1 49 50  0  0
 0  4      0 2654952  39768 785508    0    0     0    20 1206  312  0  1 49 50  0  0
 0  3      0 2654952  39768 785516    0    0     0     0 1213  322  0  0 49 51  0  0
 0  3      0 2654952  39768 785520    0    0     0     0 1229  298  1  1 49 50  0  0
 0  3      0 2654752  39768 785524    0    0     0     0 1284  303  0  1 49 50  0  0
 0  3      0 2654700  39768 785524    0    0     0     0 1210  306  0  1 49 50  0  0
 0  3      0 2654700  39776 785528    0    0     0    20 1281  317  1  0 49 50  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  3      0 2654700  39776 785532    0    0     0     0 1272  351  1  1 49 49  0  0
 0  3      0 2654700  39776 785540    0    0     0     0 1221  309  1  1 49 50  0  0
 0  3      0 2654700  39776 785544    0    0     0     0 1227  313  0  1 49 50  0  0
 0  3      0 2654700  39776 785552    0    0     0     0 1247  323  0  1 49 50  0  0
 0  4      0 2654700  39784 785556    0    0     0    20 1275  304  1  1 49 50  0  0
 0  3      0 2654700  39784 785560    0    0     0     0 1230  309  0  1 49 50  0  0
 0  3      0 2654700  39784 785564    0    0     0     0 1246  296  0  0 49 51  0  0
 0  3      0 2654700  39784 785568    0    0     0     0 1255  310  1  1 49 50  0  0
 0  3      0 2654700  39784 785568    0    0     0     0 1215  304  0  1 49 50  0  0
 0  3      0 2654700  39784 785572    0    0     0     0 1250  313  0  0 49 51  0  0
 0  3      0 2654700  39792 785580    0    0     0    20 1281  331  1  1 48 50  0  0
 0  3      0 2654700  39792 785584    0    0     0     0 1252  306  0  1 49 50  0  0
 0  3      0 2654700  39792 785588    0    0     0     0 1216  296  1  0 49 50  0  0
 0  3      0 2654700  39792 785592    0    0     0     0 1199  308  0  1 49 50  0  0
 0  3      0 2654700  39792 785596    0    0     0     0 1199  303  1  1 49 50  0  0
 0  3      0 2654700  39800 785596    0    0     0    24 1200  309  0  1 49 50  0  0
 0  3      0 2654700  39800 785604    0    0     0     0 1235  301  1  1 49 50  0  0
 0  3      0 2654700  39800 785612    0    0     0     0 1195  306  0  1 49 50  0  0
 0  3      0 2654700  39800 785612    0    0     0     0 1203  323  0  1 49 50  0  0
 0  3      0 2654700  39800 785616    0    0     0     0 1228  307  0  1 49 51  0  0
